AID	role	content	content_segmented	number	songtablet	action	book
95	丑	都是前世因緣湊合	都/是/前世/因緣/湊/合	2.071	NULL	NULL	荔鏡記--嘉靖
96	NULL	著伊隨夫赴任廣南	著/伊/隨/夫/赴任/廣/南	2.072	NULL	NULL	荔鏡記--嘉靖
97	NULL	真箇榮華無比	真/箇榮華/無比	2.073	NULL	NULL	荔鏡記--嘉靖
98	末	光陰似箭歲難留	光陰/似/箭/歲/難/留	2.074	NULL	相見介	荔鏡記--嘉靖
99	NULL	日月如梭春復秋	日月/如/梭/春/復/秋	2.075	NULL	NULL	荔鏡記--嘉靖
100	丑	但願吾兒老萊子	但願/吾/兒/老/萊/子	2.076	NULL	NULL	荔鏡記--嘉靖
101	NULL	身著斑衣五色裘	身/著/斑/衣/五/色/裘	2.077	NULL	NULL	荔鏡記--嘉靖
102	末	來	來	2.078	NULL	NULL	荔鏡記--嘉靖
103	NULL	伯延	伯/延	2.079	NULL	NULL	荔鏡記--嘉靖
104	NULL	才自是乜人在只外	才/自是/乜人/在/只/外	2.08	NULL	NULL	荔鏡記--嘉靖
105	外介	才自是廣南道承差	才/自是/廣/南/道/承/差	2.081	NULL	NULL	荔鏡記--嘉靖
106	NULL	接仔赴任	接/仔/赴任	2.082	NULL	NULL	荔鏡記--嘉靖
107	末	見是接你赴任	見/是/接/你/赴任	2.083	NULL	NULL	荔鏡記--嘉靖
108	NULL	媳婦收拾行李就時起身	媳/婦/收拾/行李/就/時/起身	2.084	NULL	NULL	荔鏡記--嘉靖
109	NULL	伯卿	伯/卿	2.085	NULL	NULL	荔鏡記--嘉靖
110	NULL	你送恁哥嫂到廣南任所	你/送/恁/哥/嫂/到/廣/南/任/所	2.086	NULL	NULL	荔鏡記--嘉靖
111	NULL	因勢轉來厝讀書	因/勢/轉來/厝/讀書	2.087	NULL	NULL	荔鏡記--嘉靖
112	生	謹領尊命	謹/領/尊/命	2.088	NULL	NULL	荔鏡記--嘉靖
113	末	仔你去做官	仔/你/去/做/官	2.089	NULL	NULL	荔鏡記--嘉靖
114	NULL	莫得貪酷百姓	莫/得/貪/酷/百姓	2.09	NULL	NULL	荔鏡記--嘉靖
115	NULL	所望榮歸故里	所/望/榮歸/故/里	2.091	NULL	NULL	荔鏡記--嘉靖
116	NULL	古人說	古/人/說	2.092	NULL	NULL	荔鏡記--嘉靖
117	NULL	袞袞諸公著錦袍	袞/袞/諸公/著/錦/袍	2.093	NULL	NULL	荔鏡記--嘉靖
118	NULL	不知民瘼半分毫	不/知/民/瘼/半/分/毫	2.094	NULL	NULL	荔鏡記--嘉靖
119	NULL	頻斟美酒千人血	頻/斟/美酒/千/人/血	2.095	NULL	NULL	荔鏡記--嘉靖
120	NULL	細切肥羊百姓膏	細/切/肥/羊/百姓/膏	2.096	NULL	NULL	荔鏡記--嘉靖
121	NULL	須記得	須/記得	2.097	NULL	NULL	荔鏡記--嘉靖
122	NULL	這四句	這/四/句	2.098	NULL	NULL	荔鏡記--嘉靖
123	NULL	是大丈夫之志	是/大丈夫/之/志	2.099	NULL	NULL	荔鏡記--嘉靖
124	NULL	立身揚名	立身/揚/名	2.1	NULL	NULL	荔鏡記--嘉靖
125	NULL	以顯父母	以/顯/父母	2.101	NULL	NULL	荔鏡記--嘉靖
126	丑	新婦	新婦	2.102	NULL	NULL	荔鏡記--嘉靖
127	NULL	你去勸我仔	你/去/勸/我/仔	2.103	NULL	NULL	荔鏡記--嘉靖
128	NULL	做官善事多為	做/官/善事/多/為	2.104	NULL	NULL	荔鏡記--嘉靖
129	NULL	惡事莫作	惡/事/莫/作	2.105	NULL	NULL	荔鏡記--嘉靖
130	占	媽R，尊命	媽/R/，/尊/命	2.106	NULL	NULL	荔鏡記--嘉靖
131	NULL	仔兒都記在心內	仔/兒/都/記/在/心內	2.107	NULL	NULL	荔鏡記--嘉靖
132	末丑	我分付二仔兒	我/分/付/二/仔/兒	2.108	一封書	NULL	荔鏡記--嘉靖
133	NULL	只去路上著細膩	只/去路/上/著/細膩	2.109	NULL	NULL	荔鏡記--嘉靖
134	NULL	去做官	去/做/官	2.11	NULL	NULL	荔鏡記--嘉靖
135	NULL	管百姓	管/百姓	2.111	NULL	NULL	荔鏡記--嘉靖
136	NULL	莫得貪酷不順理	莫/得/貪/酷/不/順/理	2.112	NULL	NULL	荔鏡記--嘉靖
137	NULL	做官須著辨忠義	做/官/須/著/辨/忠義	2.113	NULL	NULL	荔鏡記--嘉靖
138	NULL	留卜名聲乞人上史記	留/卜/名聲/乞/人/上/史/記	2.114	NULL	NULL	荔鏡記--嘉靖
139	NULL	今日相辭去	今/日/相辭/去	2.115	NULL	合唱	荔鏡記--嘉靖
140	NULL	值日得相見	值日/得/相見	2.116	NULL	NULL	荔鏡記--嘉靖
141	NULL	三年任滿返鄉里	三/年/任/滿/返鄉/里	2.117	NULL	NULL	荔鏡記--嘉靖
142	NULL	拜辭爹媽便起程	拜/辭/爹/媽/便/起程	2.118	大河蟹	外生占唱	荔鏡記--嘉靖
143	NULL	叮嚀拙話仔須聽	叮嚀/拙/話/仔/須/聽	2.119	NULL	NULL	荔鏡記--嘉靖
144	NULL	三年任滿轉鄉里	三/年/任/滿/轉/鄉里	2.12	NULL	NULL	荔鏡記--嘉靖
145	NULL	合家團圓RRRR	合家/團圓/RRRR	2.121	NULL	NULL	荔鏡記--嘉靖
146	NULL	許時返來即相慶	許/時/返/來/即/相/慶	2.122	NULL	NULL	荔鏡記--嘉靖
147	末丑	仔兒分開我心痛	仔/兒/分開/我/心痛	2.123	NULL	NULL	荔鏡記--嘉靖
148	NULL	只去隔斷千山萬嶺	只/去/隔/斷/千/山/萬/嶺	2.124	NULL	NULL	荔鏡記--嘉靖
149	NULL	勸爹勸媽	勸/爹/勸/媽	2.125	NULL	外生占	荔鏡記--嘉靖
150	NULL	莫得發業費心情	莫/得/發/業/費心情	2.126	NULL	NULL	荔鏡記--嘉靖
151	NULL	三年任滿	三/年/任/滿	2.127	NULL	合	荔鏡記--嘉靖
152	NULL	RR許時返來即相慶	RR/許/時/返/來/即/相/慶	2.128	NULL	NULL	荔鏡記--嘉靖
153	NULL	就拜辭媽共爹	就/拜/辭/媽/共/爹	2.129	NULL	尾聲	荔鏡記--嘉靖
154	NULL	安排轎馬便行程	安排/轎/馬/便/行/程	2.13	NULL	NULL	荔鏡記--嘉靖
155	NULL	值日得到廣南城	值日/得/到/廣/南/城	2.131	NULL	NULL	荔鏡記--嘉靖
156	NULL	RRRR	RRRR	2.132	NULL	NULL	荔鏡記--嘉靖
157	末	因世收拾起身	因/世/收拾/起身	2.133	NULL	NULL	荔鏡記--嘉靖
158	NULL	拜辭爹媽便起身	拜/辭/爹/媽/便/起身	2.134	NULL	並下	荔鏡記--嘉靖
159	NULL	山高路遠雁魚沈	山/高/路/遠/雁/魚/沈	2.135	NULL	NULL	荔鏡記--嘉靖
160	NULL	萬兩黃金未為貴	萬/兩/黃金/未/為/貴	2.136	NULL	NULL	荔鏡記--嘉靖
161	NULL	一家安樂值千金	一/家/安樂/值/千金	2.137	NULL	NULL	荔鏡記--嘉靖
162	NULL	花園遊賞	花園/遊賞	3	NULL	第三出	荔鏡記--嘉靖
163	旦	巧韻鶯聲	巧/韻/鶯/聲	3.001	粉蝶兒	NULL	荔鏡記--嘉靖
164	NULL	驚醒枕邊春夢	驚醒/枕/邊/春/夢	3.002	NULL	NULL	荔鏡記--嘉靖
165	NULL	起來晏	起來/晏	3.003	NULL	NULL	荔鏡記--嘉靖
166	NULL	日上西窗	日/上/西/窗	3.004	NULL	NULL	荔鏡記--嘉靖
167	占	見窗外	見/窗/外	3.005	NULL	NULL	荔鏡記--嘉靖
168	NULL	尾蝶雙飛相趕	尾蝶/雙/飛/相/趕	3.006	NULL	NULL	荔鏡記--嘉靖
169	NULL	日頭長	日頭/長	3.007	NULL	NULL	荔鏡記--嘉靖
170	NULL	春花發得通看	春花/發/得/通/看	3.008	NULL	NULL	荔鏡記--嘉靖
171	占	啞娘萬福	啞/娘/萬福	3.009	NULL	占白	荔鏡記--嘉靖
172	旦	幾陣鶯聲微微輕	幾/陣/鶯/聲/微/微/輕	3.01	NULL	NULL	荔鏡記--嘉靖
173	NULL	雙雙紫燕叫黃鶯	雙/雙/紫/燕/叫/黃鶯	3.011	NULL	NULL	荔鏡記--嘉靖
174	NULL	困人天氣未成熱	困/人/天氣/未/成/熱	3.012	NULL	NULL	荔鏡記--嘉靖
175	NULL	力只寒衣脫幾重	力/只/寒衣/脫/幾/重	3.013	NULL	NULL	荔鏡記--嘉靖
176	占	三十六春日晴明	三十/六/春日/晴/明	3.014	NULL	NULL	荔鏡記--嘉靖
177	NULL	諸般鳥雀弄巧聲	諸/般/鳥/雀/弄/巧/聲	3.015	NULL	NULL	荔鏡記--嘉靖
178	NULL	宅院深沉人什靜	宅/院/深沉/人/什/靜	3.016	NULL	NULL	荔鏡記--嘉靖
179	NULL	懶倚繡床無心情	懶/倚/繡/床/無心情	3.017	NULL	NULL	荔鏡記--嘉靖
180	旦	念阮是黃九郎諸娘仔	念/阮/是/黃/九/郎/諸娘/仔	3.018	NULL	NULL	荔鏡記--嘉靖
181	NULL	名叫五娘	名叫/五娘	3.019	NULL	NULL	荔鏡記--嘉靖
182	NULL	挑花刺繡	挑花/刺繡	3.02	NULL	NULL	荔鏡記--嘉靖
183	NULL	琴棋書畫	琴/棋/書畫	3.021	NULL	NULL	荔鏡記--嘉靖
184	NULL	諸般都曉	諸/般/都/曉	3.022	NULL	NULL	荔鏡記--嘉靖
185	NULL	爹爹並無男嗣	爹/爹/並無/男/嗣	3.023	NULL	NULL	荔鏡記--嘉靖
186	NULL	單身養阮一身	單身/養/阮/一/身	3.024	NULL	NULL	荔鏡記--嘉靖
187	NULL	來啞	來/啞	3.025	NULL	NULL	荔鏡記--嘉靖
188	NULL	益春	益/春	3.026	NULL	NULL	荔鏡記--嘉靖
189	NULL	今旦正是新春節氣	今/旦/正是/新春/節氣	3.027	NULL	NULL	荔鏡記--嘉靖
190	NULL	不免相共	不免/相共	3.028	NULL	NULL	荔鏡記--嘉靖
191	NULL	行到花園內賞花	行到/花園/內/賞花	3.029	NULL	NULL	荔鏡記--嘉靖
192	占	好花不去賞，也可惜除	好/花/不/去/賞/，/也/可惜/除	3.03	NULL	NULL	荔鏡記--嘉靖
193	NULL	入花園簡相隨	入/花園/簡/相隨	3.031	錦田道	旦唱	荔鏡記--嘉靖
194	NULL	滿園花開蕊	滿/園/花/開/蕊	3.032	NULL	NULL	荔鏡記--嘉靖
195	NULL	紅白綠間翠	紅/白/綠/間/翠	3.033	NULL	NULL	荔鏡記--嘉靖
196	NULL	雙飛燕尾蝶	雙/飛/燕/尾蝶	3.034	NULL	NULL	荔鏡記--嘉靖
197	NULL	成雙成對	成雙/成對	3.035	NULL	NULL	荔鏡記--嘉靖
198	NULL	對只景櫒人心憔悴	對/只/景/櫒/人心/憔悴	3.036	NULL	NULL	荔鏡記--嘉靖
199	占	娘身是牡丹花正開	娘/身/是/牡丹/花/正/開	3.037	NULL	NULL	荔鏡記--嘉靖
200	NULL	生長在深閨	生長/在/深閨	3.038	NULL	NULL	荔鏡記--嘉靖
201	NULL	好時節空虛費	好/時節/空虛/費	3.039	NULL	NULL	荔鏡記--嘉靖
202	NULL	怨殺窗外啼子規	怨/殺/窗/外/啼/子/規	3.04	NULL	NULL	荔鏡記--嘉靖
203	NULL	枝上鶯聲沸	枝/上/鶯/聲/沸	3.041	NULL	NULL	荔鏡記--嘉靖
204	NULL	一點春心	一/點/春/心	3.042	NULL	NULL	荔鏡記--嘉靖
205	NULL	今來交付乞誰	今/來/交付/乞/誰	3.043	NULL	NULL	荔鏡記--嘉靖
206	旦	整日坐繡房	整日/坐/繡房	3.044	撲燈娥	NULL	荔鏡記--嘉靖
207	NULL	閑行出紗窗	閑/行/出/紗窗	3.045	NULL	NULL	荔鏡記--嘉靖
208	NULL	牡丹花正開	牡丹/花/正/開	3.046	NULL	NULL	荔鏡記--嘉靖
209	NULL	尾蝶同飛來相弄	尾蝶/同/飛/來/相/弄	3.047	NULL	NULL	荔鏡記--嘉靖
210	NULL	上下翩翻	上/下/翩/翻	3.048	NULL	NULL	荔鏡記--嘉靖
211	NULL	阮春心著伊惹動	阮/春/心/著/伊/惹/動	3.049	NULL	NULL	荔鏡記--嘉靖
212	占	拆一枝	拆/一/枝	3.05	NULL	NULL	荔鏡記--嘉靖
213	NULL	挽一枝	挽/一/枝	3.051	NULL	NULL	荔鏡記--嘉靖
214	NULL	插入金瓶	插入/金/瓶	3.052	NULL	NULL	荔鏡記--嘉靖
215	旦	畏引惹黃蜂尾蝶	畏/引/惹/黃/蜂/尾蝶	3.053	NULL	NULL	荔鏡記--嘉靖
216	NULL	尋香入繡房	尋/香/入/繡房	3.054	NULL	NULL	荔鏡記--嘉靖
217	NULL	牡丹花開玉欄干	牡丹/花/開/玉/欄/干	3.055	NULL	余文	荔鏡記--嘉靖
218	NULL	管乜尾蝶共黃蜂	管/乜/尾蝶/共/黃/蜂	3.056	NULL	NULL	荔鏡記--嘉靖
219	NULL	須得凰鳳來穿花叢	須/得/凰/鳳/來/穿/花/叢	3.057	NULL	NULL	荔鏡記--嘉靖
220	NULL	滿園花開綠間紅	滿/園/花/開/綠/間/紅	3.058	NULL	NULL	荔鏡記--嘉靖
221	NULL	花開花謝不胡忙	花/開花/謝/不/胡/忙	3.059	NULL	NULL	荔鏡記--嘉靖
222	NULL	一年那有春天好	一/年/那有/春天/好	3.06	NULL	NULL	荔鏡記--嘉靖
223	NULL	不去得桃總是空	不/去/得/桃/總是/空	3.061	NULL	NULL	荔鏡記--嘉靖
224	NULL	運使登途	運/使/登/途	4	NULL	第四出	荔鏡記--嘉靖
225	末	有福樣人人伏事	有/福/樣/人人/伏/事	4.001	NULL	NULL	荔鏡記--嘉靖
226	NULL	無福樣人伏事人	無/福/樣/人/伏/事/人	4.002	NULL	NULL	荔鏡記--嘉靖
227	NULL	小人不是別人	小人/不是/別人	4.003	NULL	NULL	荔鏡記--嘉靖
228	NULL	便是陳大人手下	便/是/陳/大人/手下	4.004	NULL	NULL	荔鏡記--嘉靖
229	NULL	大人今旦前去廣南赴任	大人/今/旦/前/去/廣/南/赴任	4.005	NULL	NULL	荔鏡記--嘉靖
230	NULL	說都未了	說/都/未了	4.006	NULL	NULL	荔鏡記--嘉靖
231	NULL	大人來到	大人/來到	4.007	NULL	NULL	荔鏡記--嘉靖
232	NULL	東風微微	東風/微/微	4.008	八聲甘州	外生占上	荔鏡記--嘉靖
233	NULL	正是新春景致	正是/新春/景致	4.009	NULL	NULL	荔鏡記--嘉靖
234	NULL	憶著：在厝好酒	憶著/：/在/厝/好酒	4.01	NULL	NULL	荔鏡記--嘉靖
235	NULL	慶賀新年	慶賀/新年	4.011	NULL	NULL	荔鏡記--嘉靖
236	NULL	雙親堂上老年紀	雙親/堂上/老/年紀	4.012	NULL	NULL	荔鏡記--嘉靖
237	NULL	功名牽絆覓除伊	功名/牽/絆/覓/除/伊	4.013	NULL	NULL	荔鏡記--嘉靖
238	合	心悲	心/悲	4.014	NULL	NULL	荔鏡記--嘉靖
239	NULL	值日得返鄉里	值日/得/返鄉/里	4.015	NULL	NULL	荔鏡記--嘉靖
240	又	富貴是無比	富貴/是/無比	4.016	NULL	NULL	荔鏡記--嘉靖
241	NULL	五花頭踏	五/花/頭/踏	4.017	NULL	NULL	荔鏡記--嘉靖
242	NULL	馬前噪人耳	馬/前/噪人耳	4.018	NULL	NULL	荔鏡記--嘉靖
243	NULL	白馬金鞍	白/馬/金/鞍	4.019	NULL	NULL	荔鏡記--嘉靖
244	NULL	等接官員都佃	等接/官員/都/佃	4.02	NULL	NULL	荔鏡記--嘉靖
245	NULL	金印銀簇	金/印/銀/簇	4.021	NULL	NULL	荔鏡記--嘉靖
246	NULL	帶金牌	帶/金牌	4.022	NULL	NULL	荔鏡記--嘉靖
247	NULL	算來讀書強別事	算/來/讀書/強/別/事	4.023	NULL	NULL	荔鏡記--嘉靖
248	合	金榜掛名	金榜/掛名	4.024	NULL	NULL	荔鏡記--嘉靖
249	NULL	天下人都知	天下/人/都/知	4.025	NULL	NULL	荔鏡記--嘉靖
250	NULL	看日落在天邊	看日/落在/天邊	4.026	NULL	尾聲	荔鏡記--嘉靖
251	NULL	打緊驛內去安置	打/緊/驛/內/去/安置	4.027	NULL	NULL	荔鏡記--嘉靖
252	NULL	憶著家鄉在千里	憶著/家鄉/在/千/里	4.028	NULL	NULL	荔鏡記--嘉靖
253	NULL	RRRR	RRRR	4.029	NULL	NULL	荔鏡記--嘉靖
254	NULL	走馬上任路八千	走馬上任/路/八/千	4.03	NULL	NULL	荔鏡記--嘉靖
255	NULL	光景無邊景物鮮	光景/無邊/景物/鮮	4.031	NULL	NULL	荔鏡記--嘉靖
256	NULL	遇飲酒處須飲酒	遇/飲/酒/處/須/飲/酒	4.032	NULL	NULL	荔鏡記--嘉靖
257	NULL	得高歌處且樂然	得/高歌/處/且/樂/然	4.033	NULL	NULL	荔鏡記--嘉靖
258	NULL	邀朋賞燈	邀/朋/賞/燈	5	NULL	第五出	荔鏡記--嘉靖
259	淨	今冥RR元宵	今/冥/RR/元宵	5.001	賞宮花	NULL	荔鏡記--嘉靖
260	NULL	滿街人吵鬧	滿/街/人/吵鬧	5.002	NULL	NULL	荔鏡記--嘉靖
261	NULL	門前火照火	門/前/火/照/火	5.003	NULL	NULL	荔鏡記--嘉靖
262	NULL	結綵樓	結/綵/樓	5.004	NULL	NULL	荔鏡記--嘉靖
263	NULL	人人成雙都成對	人人/成雙/都/成對	5.005	NULL	NULL	荔鏡記--嘉靖
