UID	content	so	ti	pl	ps	book
36	後來不知要生若多、就今仔日起大家	52	a	35.04	NULL	語苑四
37	合好、不可冤家、若是被	52	a	35.05	NULL	語苑四
38	厝邊頭尾的人聽見不着真無面皮嗎、	52	a	35.06	NULL	語苑四
39	今着好息。二人被伊喝一下緒恬恬。	52	a	35.07	NULL	語苑四
40	白賊此句話的起因、我講恁聽、	52	a	45.01	NULL	語苑四
41	古早有所在有兩個兄弟仔、	52	a	45.02	NULL	語苑四
42	年尾頭三十下昏、兄弟仔參商、	52	a	45.03	NULL	語苑四
43	在彼講、明仔早是要過年咯、	52	a	45.04	NULL	語苑四
44	咱二人不着講較好話、伊大兄就講、	52	a	45.05	NULL	語苑四
45	小弟仔、內面有炕豬脚、尚有封肉、	52	a	45.06	NULL	語苑四
46	尚有雞肉、尚有粿、汝何不去食、	52	a	45.07	NULL	語苑四
47	伊小弟就講、阿兄在汝的眠床頭	52	a	45.08	NULL	語苑四
48	二百元、何不提出來分、	52	a	45.09	NULL	語苑四
49	明仔早可過年、伊的大兄應好、	52	a	46.01	NULL	語苑四
50	明仔早即來分、	52	a	46.02	NULL	語苑四
51	彼候仔外口適適有一個賊仔有一個	52	a	46.03	NULL	語苑四
52	賊仔有聽見、走入去想要偷提、	52	a	46.04	NULL	語苑四
53	內面空空無半項物、	52	a	46.05	NULL	語苑四
54	伊二個兄弟仔食的炕豬脚、	52	a	46.06	NULL	語苑四
55	就是番薯箍、彼候兄弟仔就知、	52	a	46.07	NULL	語苑四
56	喝有賊仔來偷提、賊聽見喝賊、	52	a	46.08	NULL	語苑四
57	走去匿盛石灰桶裡、	52	a	46.09	NULL	語苑四
58	伊兄弟仔有看見彼塊灰桶在震動、	52	a	46.1	NULL	語苑四
59	走去要拿伊、彼候仔賊扒起來要走、	52	a	46.11	NULL	語苑四
60	伊兄弟仔看着賊仔白白即喝、	52	a	46.12	NULL	語苑四
61	就是白賊、賊仔越頭應伊、	52	a	46.13	NULL	語苑四
62	我是賊、不拘無提汝的物、	52	a	46.14	NULL	語苑四
63	汝講白賊、無物給人偷提。	52	a	46.15	NULL	語苑四
64	古早的時候、有一隻白貓在得、	52	b	32.01	NULL	語苑四
65	較久無食着魚、各日出來海墘、	52	b	32.02	NULL	語苑四
66	so5 來 so5 去、	52	b	32.03	NULL	語苑四
67	有一日遇着大討海(拿有真多魚)、	52	b	32.04	NULL	語苑四
68	魚行店口、魚堆積(歸堆)	52	b	32.05	NULL	語苑四
69	若親像山的欸、	52	b	32.06	NULL	語苑四
70	彼白貓看着此號情形、	52	b	33.01	NULL	語苑四
71	在想欲要偷食一尾魚、	52	b	33.02	NULL	語苑四
72	不拘恐若偷食的時、能被主人打死、	52	b	33.03	NULL	語苑四
73	所以不得以干乾流嘴涎在看、	52	b	33.04	NULL	語苑四
74	貓在看的時、有一個拿魚的、	52	b	33.05	NULL	語苑四
75	夯梹挑要打的欸。	52	b	33.06	NULL	語苑四
76	魚行頭家看着彼個欸即講、	52	b	33.07	NULL	語苑四
77	吉仔不可打得、彼隻白貓不曾做不着	52	b	33.08	NULL	語苑四
78	、又較乖尚更能曉做藝不止有局。	52	b	33.09	NULL	語苑四
79	如此嗬、若是如此、汝與給伊做藝看	52	b	33.1	NULL	語苑四
80	bei得。講好、	52	b	33.11	NULL	語苑四
81	貓仔一次做藝給伊看得。	52	b	33.12	NULL	語苑四
82	貓仔做藝、做了不止有局。	52	b	33.13	NULL	語苑四
83	講、較心適(好笑)、	52	b	34.01	NULL	語苑四
84	遂一尾魚給白貓。歡喜到、	52	b	34.02	NULL	語苑四
85	銜一尾魚要反去厝裡、返來到半路	52	b	34.03	NULL	語苑四
86	遇到一個較惡的烏貓、	52	b	34.04	NULL	語苑四
87	魚遂被烏貓搶去。	52	b	34.05	NULL	語苑四
88	搶了要偷食的時、一隻狗來認着。	52	b	34.06	NULL	語苑四
89	講、一半給我食。講齁、	52	b	34.07	NULL	語苑四
90	汝若是欲食、着去偷提來食。	52	b	34.08	NULL	語苑四
91	聽了怒氣、講什麼、即跳去咬死烏貓	52	b	34.09	NULL	語苑四
92	。叫白貓來、彼尾魚還伊。	52	b	34.1	NULL	語苑四
93	講、好得汝、勞力、即一半要給狗。	52	b	34.11	NULL	語苑四
94	講、我就不是欲食的、遂直直返去。	52	b	34.12	NULL	語苑四
95	恆春的番仔、譬喻有勇壯的人、	52	c	28.01	NULL	語苑四
96	叫做西鄉、	52	c	28.02	NULL	語苑四
97	總是聽見真久彼句話的來歷、	52	c	28.03	NULL	語苑四
98	講是明治七年打牡丹社的時起的、	52	c	28.04	NULL	語苑四
99	是叫彼當時的都督西鄉中將的姓、	52	c	28.05	NULL	語苑四
100	這是有一日查問番仔彼時的實	52	c	29.01	NULL	語苑四
101	在情形自如此寫的。	52	c	29.02	NULL	語苑四
102	有一日探古蹟去到石門、	52	c	29.03	NULL	語苑四
103	適適有一個番仔在石門脚住宿卷、	52	c	29.04	NULL	語苑四
104	伊看着我就倉倉惶惶對我講、	52	c	29.05	NULL	語苑四
105	大人啊、此候不可入去嗬、	52	c	29.06	NULL	語苑四
106	在牡丹崎脚彼、真多番仔在出草、	52	c	29.07	NULL	語苑四
107	in1在打甚貨仔的銃子、	52	c	29.08	NULL	語苑四
108	驚能飛來亦敢、不可去、	52	c	29.09	NULL	語苑四
109	伊是如此勸我、	52	c	29.1	NULL	語苑四
110	所以我即與伊相排在彼坐、	52	c	29.11	NULL	語苑四
111	對伊說勞力、	52	c	29.12	NULL	語苑四
112	不拘我實在是要到此而已、	52	c	29.13	NULL	語苑四
113	不是要去到彼處、無量想着	52	c	29.14	NULL	語苑四
114	汝彼賢講咱的話、此近邊的蕃仔	52	c	29.15	NULL	語苑四
115	攏是像汝彼能是否。	52	c	30.01	NULL	語苑四
116	無、極少、我是因為做駐	52	c	30.02	NULL	語苑四
117	在所的當差不止久、所以即學習的。	52	c	30.03	NULL	語苑四
118	歟如此、汝是何一社的人。	52	c	30.04	NULL	語苑四
119	我是高士滑社出世的、	52	c	30.05	NULL	語苑四
120	不拘現今去牡丹社彼被招。	52	c	30.06	NULL	語苑四
121	到是如此、真適好、這石門的	52	c	30.07	NULL	語苑四
122	古蹟就是恁社與阮日本相TA	52	c	30.08	NULL	語苑四
123	彼當時的光景汝敢知歟、	52	c	30.09	NULL	語苑四
124	知也不知、彼時相TA了後社	52	c	30.1	NULL	語苑四
125	的人、揀阮老父去龜山求乞投降的時	52	c	30.11	NULL	語苑四
126	、返來伊在講、	52	c	31.01	NULL	語苑四
127	日本的大將士叫做西鄉、	52	c	31.02	NULL	語苑四
128	威風凜凜見一下就都俾人能敬服伊、	52	c	31.03	NULL	語苑四
129	以後阮蕃仔大家相傳在講較有勇氣	52	c	31.04	NULL	語苑四
130	較有膽頭的人、	52	c	31.05	NULL	語苑四
131	續稱呼伊叫做西鄉的嘮。	52	c	31.06	NULL	語苑四
132	噯、大人啊、話續講對邊仔去嘮。	52	c	31.07	NULL	語苑四
133	不拘今日頭要落山我無返去沒使得、	52	c	31.08	NULL	語苑四
134	等候別日更相見的時即來講	52	c	31.09	NULL	語苑四
135	相TA彼當時的光景給汝聽、	52	c	31.1	NULL	語苑四
136	汝請。「伊是講一句汝請、續惶惶	52	c	31.11	NULL	語苑四
137	赴赴走對石門內入去了」	52	c	31.12	NULL	語苑四
138	講起時日、	52	c	47.01	NULL	語苑四
139	就是明治四十三年十二月二十五日、	52	c	47.02	NULL	語苑四
140	此日是今年第一終尾的禮拜、	52	c	47.03	NULL	語苑四
141	彼下哺我招阮查某人、	52	c	47.04	NULL	語苑四
142	去北投cit4 tho5半日、	52	c	47.05	NULL	語苑四
143	幸得真如天、攏無風、	52	c	47.06	NULL	語苑四
144	親像內地小春的日、	52	c	47.07	NULL	語苑四
145	要四處cit4 tho5 、	52	c	47.08	NULL	語苑四
146	第一妙的禮拜日。	52	c	47.09	NULL	語苑四
147	二十五日、實在年已經迫咯、	52	c	47.1	NULL	語苑四
148	即要四處cit4 tho5 、	52	c	47.11	NULL	語苑四
149	如此樂暢、	52	c	47.12	NULL	語苑四
150	打算亦是阮二人而已、	52	c	47.13	NULL	語苑四
151	別人的確能笑講是憨氣、	52	c	47.14	NULL	語苑四
152	總是在我有一條因端在得。	52	c	47.15	NULL	語苑四
153	第一就是阮二個夫仔妻、	52	c	47.16	NULL	語苑四
154	是結婚了後、起頭的正月、	52	c	47.17	NULL	語苑四
155	雖然若淡薄準備、	52	c	48.01	NULL	語苑四
156	彼是有的人即着如此、	52	c	48.02	NULL	語苑四
157	在我極其簡便、各項都備好勢	52	c	48.03	NULL	語苑四
158	實在真閑咯、這是一條的因端、	52	c	48.04	NULL	語苑四
159	第二條台灣與內地無相同、	52	c	48.05	NULL	語苑四
160	無適好的所在、可新婚旅行、	52	c	48.06	NULL	語苑四
161	所以沒得合婚彼暗、	52	c	48.07	NULL	語苑四
162	與新娘二個相牽、	52	c	48.08	NULL	語苑四
163	歡喜cit4 tho5、	52	c	48.09	NULL	語苑四
164	今雖然少些較緩、今仔日決定要去	52	c	48.1	NULL	語苑四
165	cit4 tho5、到底阮牽手、	52	c	48.11	NULL	語苑四
166	更較講亦是婦人人、	52	c	48.12	NULL	語苑四
167	恐了別人不知能笑沒、	52	c	48.13	NULL	語苑四
168	無甚要去、到路尾查哺人一下講、	52	c	48.14	NULL	語苑四
169	即決定要去、	52	c	48.15	NULL	語苑四
170	做陣cit4 tho5半日、	52	c	48.16	NULL	語苑四
171	在我想、起初伊無甚愛去、	52	c	48.17	NULL	語苑四
172	是因為做新娘恐見恥。	52	c	48.18	NULL	語苑四
173	汝去何去。	52	d	1.01	NULL	語苑四
174	我是否、我是去車頭送朋友。	52	d	1.02	NULL	語苑四
175	講朋友就是甚人。	52	d	1.03	NULL	語苑四
176	汝亦敢識得、號做…	52	d	1.04	NULL	語苑四
177	彼個不止凍霜客的伊嘮…	52	d	1.05	NULL	語苑四
178	不知是甚人、干乾講如此、	52	d	1.06	NULL	語苑四
179	鬼人能曉得。	52	d	1.07	NULL	語苑四
180	恍惚沒記得、想不出、	52	d	1.08	NULL	語苑四
181	在下斗有大粒痣的伊嘮	52	d	2.01	NULL	語苑四
182	唉、汝是狂是否、	52	d	2.02	NULL	語苑四
183	送到車頭去彼呢相好的朋友	52	d	2.03	NULL	語苑四
184	的名亦續沒記得。	52	d	2.04	NULL	語苑四
185	彼是嘮、在嘴口嘴口講沒得出來、	52	d	2.05	NULL	語苑四
186	呵、想着嘮、號做本島三郎、	52	d	2.06	NULL	語苑四
187	汝亦敢識得嗬。	52	d	2.07	NULL	語苑四
188	名曾聽人講知影、不拘人不識。	52	d	2.08	NULL	語苑四
189	伊此次去何位。落台南。	52	d	2.09	NULL	語苑四
190	歟、送行的人有多人無。	52	d	2.1	NULL	語苑四
191	不知是送伊亦是送甚人、	52	d	2.11	NULL	語苑四
192	總是不止多人、不拘熟識人	52	d	2.12	NULL	語苑四
193	是干乾遇着二三個而已、	52	d	2.13	NULL	語苑四
194	餘者攏是生份人。	52	d	3.01	NULL	語苑四
195	我不曾看見在車頭、人彼呢塡踏。	52	d	3.02	NULL	語苑四
196	彼敢是歸陣要去看共進會的人	52	d	3.03	NULL	語苑四
197	此幇車起身的嘮。	52	d	3.04	NULL	語苑四
198	歟、如此較大面。	52	d	3.05	NULL	語苑四
199	陳兄有在得無。	52	d	41.01	NULL	語苑四
200	有嗬、甚人、請入來坐。	52	d	41.02	NULL	語苑四
201	噯、林兄是否、請過來此旁坐。	52	d	41.03	NULL	語苑四
202	今敢晏咯、隨時來去。	52	d	41.04	NULL	語苑四
203	要何去。唉、不可佯戆、	52	d	42.01	NULL	語苑四
204	汝是昨昏有與我約、	52	d	42.02	NULL	語苑四
205	講要CH我去看狗與猴的弄戲	52	d	42.03	NULL	語苑四
206	嗎。有影有影、	52	d	42.04	NULL	語苑四
207	我今仔日真無閑、	52	d	42.05	NULL	語苑四
208	續沒記得、失禮失禮。	52	d	42.06	NULL	語苑四
209	此後幾點鐘。今五點半了。	52	d	42.07	NULL	語苑四
210	彼號戲幾點鐘搬起。	52	d	42.08	NULL	語苑四
211	敢是六點。	52	d	42.09	NULL	語苑四
212	到是如此、隨時去即赴能着、	52	d	42.1	NULL	語苑四
213	不拘我尚未食暗、	52	d	42.11	NULL	語苑四
214	汝亦敢尚未食嗬、隨便菜而已、	52	d	42.12	NULL	語苑四
215	請與我做陣來去食。	52	d	43.01	NULL	語苑四
216	多謝、我已經食飽了、做汝去食、	52	d	43.02	NULL	語苑四
217	我住此等候。若如此、失陪失陪。	52	d	43.03	NULL	語苑四
218	給汝等候到真久、得罪得罪。	52	d	43.04	NULL	語苑四
219	豈敢豈敢、今着來去。	52	d	43.05	NULL	語苑四
220	好來去、噯、且等咧、	52	d	43.06	NULL	語苑四
221	我沒記得帶票包仔來、	52	d	43.07	NULL	語苑四
222	我去提連鞭來。免去提、我有帶來。	52	d	43.08	NULL	語苑四
223	若如此、汝預見與我出、	52	d	43.09	NULL	語苑四
224	明仔日我即提還汝。	52	d	43.1	NULL	語苑四
225	彼免致意。	52	d	44.01	NULL	語苑四
226	愈行遇講話無知無東續到位、	52	d	44.02	NULL	語苑四
227	就趕緊提二角銀給伊、	52	d	44.03	NULL	語苑四
228	做陣入去內面、	52	d	44.04	NULL	語苑四
229	來在看的人真多、	52	d	44.05	NULL	語苑四
230	大約有二千外人、	52	d	44.06	NULL	語苑四
231	續無位可坐、	52	d	44.07	NULL	語苑四
232	阮二個姑不終即住人的脚尻後在看、	52	d	44.08	NULL	語苑四
233	狗與猴對換在弄戲、	52	d	44.09	NULL	語苑四
234	實在是不止有局、	52	d	44.1	NULL	語苑四
235	續看到息尾。	52	d	44.11	NULL	語苑四
236	就如此cit4 tho5半日、	52	d	47.01	NULL	語苑四
237	日要暗的時、	52	d	47.02	NULL	語苑四
238	坐車對崎仔過、	52	d	47.03	NULL	語苑四
239	到火車頭、	52	d	47.04	NULL	語苑四
240	要去臺北的尾幇車、	52	d	47.05	NULL	語苑四
241	尚有二十外分鐘、	52	d	47.06	NULL	語苑四
242	即入去車頭的厝內、	52	d	47.07	NULL	語苑四
243	坐在等火車、	52	d	47.08	NULL	語苑四
244	彼時日在要暗、	52	d	47.09	NULL	語苑四
245	風不止冷我就如此講。	52	d	47.1	NULL	語苑四
246	怎樣呢、cit4 tho5半日、	52	d	47.11	NULL	語苑四
247	所在有異樣、敢不止趣味嗬」	52	d	47.12	NULL	語苑四
248	「是都着、真有趣味、	52	d	47.13	NULL	語苑四
249	總是一下想起來、	52	d	47.14	NULL	語苑四
250	正月隨時到咯」	52	d	47.15	NULL	語苑四
251	「着咯、總是咱厝的事情、	52	d	47.16	NULL	語苑四
252	各項都準備辦好好、今閑咯」	52	d	47.17	NULL	語苑四
253	「講着此號事情、我就煩惱、	52	d	48.01	NULL	語苑四
254	準備正月的頭項、阮攏沒曉得」	52	d	48.02	NULL	語苑四
255	「哈哈、彼個沒曉得、	52	d	48.03	NULL	語苑四
256	就是新娘貴氣的所在、	52	d	48.04	NULL	語苑四
257	我笑笑如此講、伊就若笑、	52	d	48.05	NULL	語苑四
258	用目睭瞋我、即講、	52	d	48.06	NULL	語苑四
259	「汝此個、真賢講」	52	d	48.07	NULL	語苑四
260	二個在講的時、	52	d	48.08	NULL	語苑四
261	有一個內地查某、	52	d	48.09	NULL	語苑四
262	坐車來到門口、提錢給拖車、	52	d	48.1	NULL	語苑四
263	趕緊入來、	52	d	48.11	NULL	語苑四
264	看見火車尚能赴、	52	d	48.12	NULL	語苑四
265	行二三歩入去、看四處、	52	d	48.13	NULL	語苑四
266	即坐在椅裡等候、	52	d	48.14	NULL	語苑四
267	伊的大腿頂、	52	d	48.15	NULL	語苑四
268	置一個手巾包仔、	52	d	48.16	NULL	語苑四
269	看伊彼欸、	52	d	48.17	NULL	語苑四
270	恰若見耻見耻、較好奇的、	52	d	48.18	NULL	語苑四
271	亦不但東京、	52	d	48.19	NULL	語苑四
272	此處在等的人、	52	d	48.2	NULL	語苑四
273	各個面都向對此個查某去、	52	d	48.21	NULL	語苑四
274	彼候我亦與伊看、	52	d	48.22	NULL	語苑四
275	阮牽手亦與伊看、	52	d	48.23	NULL	語苑四
276	我在想、做人ki心適。	52	d	48.24	NULL	語苑四
277	有一個所在、	52	e	29.01	NULL	語苑四
278	鴛鴦真多在泅的水池、	52	e	29.02	NULL	語苑四
279	號做赤沼、	52	e	29.03	NULL	語苑四
280	將彼附近的庄裡、	52	e	29.04	NULL	語苑四
281	有一個打獵的叫做八平在得、	52	e	29.05	NULL	語苑四
282	此個人、各日去山裡亦是水池、	52	e	29.06	NULL	語苑四
283	打鳥與禽獸、有一日落雪	52	e	29.07	NULL	語苑四
284	落∥∥	52	e	29.08	NULL	語苑四
285	此打獵的像各日如此櫸銃出去、	52	e	30.01	NULL	語苑四
286	去四界都無半獵、	52	e	30.02	NULL	語苑四
287	這敢是傷寒冷即能如此的、	52	e	30.03	NULL	語苑四
288	八平的人、干乾受寒而已、	52	e	30.04	NULL	語苑四
289	即想今仔日是無了時無法度的日、	52	e	30.05	NULL	語苑四
290	即回返來、	52	e	30.06	NULL	語苑四
291	來到彼赤沼邊看沼裡、	52	e	30.07	NULL	語苑四
292	鴛鴦像各日如此在泅水、	52	e	30.08	NULL	語苑四
293	此八平亦是知、自古早	52	e	30.09	NULL	語苑四
294	鴛鴦是無人敢打的事情、	52	e	30.1	NULL	語苑四
295	不拘彼日打無半隻、	52	e	30.11	NULL	語苑四
296	所以看彼號情形、	52	e	30.12	NULL	語苑四
297	無坏遂照得打一隻牝的、	52	e	30.13	NULL	語苑四
298	返來厝裡、	52	e	30.14	NULL	語苑四
299	彼夜打獵的、	52	e	30.15	NULL	語苑四
300	倒在睏的時、	52	e	30.16	NULL	語苑四
301	枕邊頭有一個穿美白長衫白宮女來、	52	e	30.17	NULL	語苑四
302	拖伊的夢、	52	e	30.18	NULL	語苑四
303	講、我是今仔日在赤沼、	52	e	30.19	NULL	語苑四
304	被汝打着的鴛鴦的子、	52	e	31.01	NULL	語苑四
305	各日都阮老母CH	52	e	31.02	NULL	語苑四
306	我去彼水水池裡、	52	e	31.03	NULL	語苑四
307	在泅水歡喜cit4 tho5、	52	e	31.04	NULL	語苑四
308	適彼時、	52	e	31.05	NULL	語苑四
309	汝來打着阮老母、	52	e	31.06	NULL	語苑四
310	所以自明仔日干乾一個、	52	e	31.07	NULL	語苑四
311	孤單較無伴稀微真慘、	52	e	31.08	NULL	語苑四
312	汝明仔日早起、	52	e	31.09	NULL	語苑四
313	去彼水池裡看bei咧、	52	e	31.1	NULL	語苑四
314	汝打着老母的時、	52	e	31.11	NULL	語苑四
315	脫落去毛彼、	52	e	31.12	NULL	語苑四
316	若有看見一隻得人愛的鴛鴦子、	52	e	31.13	NULL	語苑四
317	倒得死就是我、	52	e	31.14	NULL	語苑四
318	拜托汝、	52	e	31.15	NULL	語苑四
319	我的身屍與阮老母的毛、	52	e	31.16	NULL	語苑四
320	彼水池邊做堆與我埋、	52	e	31.17	NULL	語苑四
321	打獵的、聽見遂精神、	52	e	31.18	NULL	語苑四
322	心肝搭嚇、	52	e	31.19	NULL	語苑四
323	適仔的夢不知是真抑不是、	52	e	31.2	NULL	語苑四
324	做了不止可憐事、打獵的、	52	e	31.21	NULL	語苑四
325	翻轉早起較早走去彼水池邊、	52	e	31.22	NULL	語苑四
326	看昨昏打着鴛鴦的時、	52	e	32.01	NULL	語苑四
327	脫落去毛彼、	52	e	32.02	NULL	語苑四
328	看着一隻真古錐的鴛鴦子倒得死、	52	e	32.03	NULL	語苑四
329	打獵的即想、晇、	52	e	32.04	NULL	語苑四
330	鳥仔亦是像如此想父母、	52	e	32.05	NULL	語苑四
331	勿講何況做人的子、	52	e	32.06	NULL	語苑四
332	愈想愈苦、遂彼水池邊堀一孔、	52	e	32.07	NULL	語苑四
333	將鴛鴦子與老母的毛、	52	e	32.08	NULL	語苑四
334	做一下埋、埋了栽一枝墓標、	52	e	32.09	NULL	語苑四
335	講、彼打獵的、	52	e	32.1	NULL	語苑四
336	遂翻心、以後不敢打獵。	52	e	32.11	NULL	語苑四
337	有一個囝仔、去學校讀書、	52	e	47.01	NULL	語苑四
338	要返來厝的時、	52	e	47.02	NULL	語苑四
339	半路適適遇着伊母親、	52	e	47.03	NULL	語苑四
340	母親看着囝仔、	52	e	47.04	NULL	語苑四
341	續留目屎哭、又講。	52	e	47.05	NULL	語苑四
342	您阿爸這次仔怎樣、	52	e	47.06	NULL	語苑四
343	你身軀有勇勇否、你講我聽。	52	e	47.07	NULL	語苑四
344	你出去以后大家無甚麼事情、	52	e	47.08	NULL	語苑四
345	阿爸亦攏無賭博尚無食酒、	52	e	47.09	NULL	語苑四
346	骨力作工課趁錢、	52	e	47.1	NULL	語苑四
347	所以不時有錢可用、	52	e	47.11	NULL	語苑四
348	有米可食、有衫可穿、	52	e	47.12	NULL	語苑四
349	也我各日去讀書、	52	e	47.13	NULL	語苑四
350	讀書若返來、遇着阿爸在無閑、	52	e	47.14	NULL	語苑四
351	我洗米煮飯煮菜、	52	e	48.01	NULL	語苑四
352	做便便、	52	e	48.02	NULL	語苑四
353	等候阿爸返來、	52	e	48.03	NULL	語苑四
354	若是阿爸先返來、就阿爸煮飯等我、	52	e	48.04	NULL	語苑四
355	也阿爸與我洗衫、我掃厝內、	52	e	48.05	NULL	語苑四
356	各日都做如此、也阿爸在講、	52	e	48.06	NULL	語苑四
357	今無老母亦好、	52	e	48.07	NULL	語苑四
358	你若盡心讀書、	52	e	48.08	NULL	語苑四
359	別日仔的確能做大官、	52	e	48.09	NULL	語苑四
360	若是你做大官、	52	e	48.1	NULL	語苑四
361	咱父仔子能快活渡過日、	52	e	48.11	NULL	語苑四
362	歟、別日仔、您老母看咱快活、	52	e	48.12	NULL	語苑四
363	想要愛歸家、亦是沒使得、	52	e	48.13	NULL	語苑四
364	學校先生亦有如此講否、	52	e	48.14	NULL	語苑四
365	講覆水不歸盆、就是這號事、	52	e	48.15	NULL	語苑四
366	伊又更講、	52	e	48.16	NULL	語苑四
367	您母是放棄咱二個出去、	52	e	48.17	NULL	語苑四
368	所致你若是半路遇着您母、	52	e	48.18	NULL	語苑四
369	的確勿叫伊老母、着叫阿姆、	52	e	48.19	NULL	語苑四
370	如此講、阿姆你流目屎哭是怎樣。	52	e	48.2	NULL	語苑四
371	請汝大人、我要愛剪髮、	52	f	21.01	NULL	語苑四
372	不知能准抑無。	52	f	21.02	NULL	語苑四
373	能卻是能准、	52	f	21.03	NULL	語苑四
374	不拘汝實在愛要剪髮是否、	52	f	21.04	NULL	語苑四
375	大人我講給汝聽、	52	f	21.05	NULL	語苑四
376	我已經入監獄十數年久、	52	f	21.06	NULL	語苑四
377	受汝的恩情、	52	f	21.07	NULL	語苑四
378	現時做裁縫第一等的分役、	52	f	21.08	NULL	語苑四
379	或者若是別日給我恩典、	52	f	21.09	NULL	語苑四
380	即有可返去的時、	52	f	21.1	NULL	語苑四
381	猶原是要開裁縫店、	52	f	21.11	NULL	語苑四
382	不拘要交關的人攏是內地人、	52	f	21.12	NULL	語苑四
383	所以即愛要剪髮的嘮。	52	f	21.13	NULL	語苑四
384	汝講如此着、	52	f	22.01	NULL	語苑四
385	裁縫的頭路是將來有望的工藝、	52	f	22.02	NULL	語苑四
386	別日放免的時、	52	f	22.03	NULL	語苑四
387	住城內開裁縫店就的確有趁錢閣。	52	f	22.04	NULL	語苑四
388	尚更頂禮拜日、	52	f	22.05	NULL	語苑四
389	黃玉階先生來監獄教誨的時、	52	f	22.06	NULL	語苑四
390	有與咱講、	52	f	22.07	NULL	語苑四
391	講咱臺灣歸帝國以來文明開化、	52	f	22.08	NULL	語苑四
392	現今不管甚麼事情都攏是進歨發達、	52	f	22.09	NULL	語苑四
393	干乾有一欸無剪髮的事情、	52	f	22.1	NULL	語苑四
394	這是做帝國的臣民的人、	52	f	22.11	NULL	語苑四
395	不止無體面的事。	52	f	22.12	NULL	語苑四
396	實在有影、	52	f	22.13	NULL	語苑四
397	玉階先生的教誨是真正有道理的話、	52	f	22.14	NULL	語苑四
398	先生是有德行有名望、	52	f	22.15	NULL	語苑四
399	阮做官人亦不時在尊敬先生嘮。	52	f	22.16	NULL	語苑四
400	凸風城賢爭庄、	52	f	42.01	NULL	語苑四
401	有二個定愛相賽的、	52	f	42.02	NULL	語苑四
402	一個叫做張三、一個號做李四、	52	f	42.03	NULL	語苑四
403	有一日、兩人夯3鋤頭去巡田水	52	f	42.04	NULL	語苑四
404	、張三豎在自己的田岸頂、	52	f	42.05	NULL	語苑四
405	看着伊隔壁坵的田、	52	f	42.06	NULL	語苑四
406	就嘆大氣在講、噯喝、	52	f	43.01	NULL	語苑四
407	此呢好的田、	52	f	43.02	NULL	語苑四
408	交在別人的手實在是真無彩、	52	f	43.03	NULL	語苑四
409	我若有錢都要與伊買、	52	f	43.04	NULL	語苑四
410	李四應伊講、有影無、	52	f	43.05	NULL	語苑四
411	我一下琢、二個想、	52	f	43.06	NULL	語苑四
